bit_length,total_bits,random_multiplier,rhs_projection_ell
93,228,7007833176969274142857542301,15929654486678705063036581680575522999490985069647937248861505814263711185327
94,229,10785662088771554918999481511,84571807255888603754100891318601147644561692164741273904365418445489940897544
95,230,32103816862785723222481380685,11212996788196181744513826810265945865720440691753158550389165444481645976167
96,231,50089506157455966949571388824,1631787173232814046262578451960253041386369991774913658230729899695804863265
97,232,105866013119678056165492460632,73846714261315847430485569237229294001331914197806746429875934682417977683576
93,228,6463363729066373897870196101,93103135943091986398198538839293328062587202044153201170001409490016646978195
94,229,11734061625865621728193640776,422869242664900958234705874146843232460106486485734905963357412040617689393
95,230,24015595710527410558241760094,74415346416108006842224347657046779191352701017380616039508119773093254757301
96,231,45053952280881045066201539751,63319920509885309974266416477159003584220522768330508630580418263367871205872
97,232,151323641802334916581667643599,87645597423169700125527556064204507654012938631165217907821680244756749431359
93,228,6845990512027418069012441475,92681834618685853115273792135500429610584616146111419728057389538431347395511
94,229,18717765841700253122085031515,72112219835926983344828170843537976112725935223704477391280811846316261893714
95,230,27336066721723853542780889369,37681342422660847932235339798425299075509400658794977016281148990173163689942
96,231,51186678021310360329352768157,28367699465130082644020051221397604944617986412109801460693043911581973197902
97,232,88482837884444809698221769186,103759327214322348334030668865099244113603027386630042231267167973009537178444
93,228,6380593509234792623826389477,69978047530829198536716689799524938207055930369135312859021069433620304183380
94,229,10340096930427335837374964223,56558695337838302444828503436717150102457962236485080880838432046764442661582
95,230,32293527541807286353304495801,19663238624491731741153053983477239466756147844328156780325062680068644751659
96,231,60257163222754836328171370910,48382949928484612902197903242923256703259098574182407109007234486706402658089
97,232,142574660040989577946068943679,97104810608398379735851956588025738082698039016634487101587300363539681736142
93,228,5758535264649009265131999953,56510574052489467320527385950810181971355146770956523174685162686704244621657
94,229,16420040294043742703842993445,26190518334109914895653590964340877921561001276603550281330675566187339366386
95,230,20968103074692839198089716436,46217281583017670157655009327034349409383914176489099401766562790628082531872
96,231,68962191981555569426323756047,109622769326327942927637859429794143780406207060373493786977819289908208337152
97,232,84374258422802070280419382698,82345211080920578479453757792468214785288540188427305073976877018420062292732
93,228,7850078069934075187019100201,103630555990778256358825985112323109997093720922461304935008552914075440951561
94,229,18550903683800023101955569299,24838273772905836489767051962831909396250978588450045415226928016533998918556
95,230,37566892327689000348693630497,55496116516712974507921273325556720789892838830200915776620951941894427636011
96,231,71434275399810164372278811039,60233859208695251558940563820739784939735530839582192371250865639219924137706
97,232,113643469136442132870967505277,92031286485336907912598361819620655188870905504047821813075464618560518098733
93,228,9166410850974347244899744511,15430963162770293560363512508299179305088761166116429569083065695593990562184
94,229,13691255199493554383995582765,101403857884320312789495943651708098376168760147329332771371350930629247961249
95,230,23887017550567672765322423734,376698629672717849131454531422262971561549232283431831868301541102748488007
96,231,55447057839774372684245876382,62754436220295151223195098204551993890722731617514915705530274073819198340697
97,232,121388755418164035085736687885,82866325881480195177068599288557443592600074212876795648137543051621073384410
93,228,6052341050050623909763675280,97424392568002067690663838691643726608277482765159685011714150074268948409783
94,229,19729520022118202979009266576,9503641825288307441769840552550471988594103009497706783483763773104918517347
95,230,33270249272572829450209076334,20608359403915006584843259549316625836650631252812933786262870951911097078891
96,231,74957380769113816893152142025,74364183799002852224760819984927359889807514525195408843467796951069585260856
97,232,99156154780321504642268111628,85608511133947697489551527401980894351895688208421583895083495281346224043060
93,228,7861333260460627915248401520,63808660706218801212273500648789911479946607666590112305430367887147536079978
94,229,11661245193736327014069880532,8243216483569618078872792848505049124980437678132777264399776760591256407343
95,230,26017297625349529441796743969,114043534760355841990245881090400893890191588011842500975376682449787306677420
96,231,56626027017591604158790397598,23755427989559918629995651838453613736196548256605465547484515458109864583042
97,232,115241566197681745897067871740,99864357816130452298086575915144856001532069697840091052759498737395853723291
93,228,6843188350612492447832633565,105853885304909347389179995971439288345420731306154230996954700828249089224337
94,229,12650561693629047448268244861,108931848445747247640834117865055697768946855342703021445605256647645850150398
95,230,32718253659497507280695257312,33293739313444617731722217598422094862769944137046345748214136051326493996717
96,231,40231648337983892481905903307,48489606816320129627138387323560478321853246405124792821242231769745977707161
97,232,132279728462363448390586786500,96449547386476555765979713337621991228396780902913379186746968841265330744296
93,228,5103598062561961011704014276,114483199788409380540677183043270756456940814390524127274849112593559595855298
94,229,10563773853104560093578257754,8364410151455971489548031232221250314490719556845495480964476040108720910742
95,230,36965701112622134652537996396,16538076742285339167933278146658068205393750859746637849767520267369738585435
96,231,50703768729364850784398517414,85160009016274237065410291232330589205255742651469000726489920914215156224627
97,232,110085241220554246936401648738,91514529272950052473566044896328266721409343891296682545224488215144552352400
93,228,5096036241126415154266175584,95245259517095924648131796752801494701467820760568115992589721041874048738165
94,229,13455005970239141517453719066,93311472722141495190173596057039973534435596138625542612831487915081639247915
95,230,23976030422918153897001134167,83569224465862278596152334400528246103344719727631877484530666135053820179631
96,231,48898180453274411621120659063,28993366109717689590764371251753123867699348631176054493217179987657971442838
97,232,113497027424166657583698342493,84972962395948160228860342368294171976232501777317800484065446141694589181175
93,228,9693380911506484786771949329,42438650000126166623555704452392942620151521044619007018988455306668840708051
94,229,18454063799858926348023074235,47982030839197691359139270947066558384955292411440937113392953768191631071926
95,230,39282047198060838650312940506,74126821354566472821378931041787518717754278047659637033906675382074000275812
96,231,50423599078968121993781966614,110370601729985029527973671744596145837258338979222148341476089411489407454408
97,232,103372830533001453475137638636,81199193123773162137553456873434537816680385613938953057351658977673178338360
93,228,5360758152071540119317946581,35258445827020417223363604889018693205498851164722011929214543111944443611259
94,229,9942798648858213736811688113,57506458843777608017640471653287791840637382994155428107398502273560286258995
95,230,26978809746522021017732954821,21517644868521693437703752034360401427731843688677515309609409356448697816991
96,231,72122440841564199398275361435,49631723222838663671845771152532338504641899819456318296666388051919529767022
97,232,87975935744557098382044420133,28443318594767645457541295297795222307524161968070758983302771086854762746415
93,228,9403608826763649151968606642,67174302136455713639062421161323977121530514405054035615854200357107534525578
94,229,13156938965460887052626124560,31272755296810883553252630881179623952650943511162898139478405004283585543184
95,230,20066705331938174498432228904,114533292973256553484986455787171665734200277865624914072028764672140466394920
96,231,55526880841139070775087146906,93136758698637411571812207396523358555710750592552202206850465650011304053220
97,232,155500516268273726281160854058,75690880566126271882152035588721660516484073832571875112949695712067162520261
93,228,9831379304578894268149398295,108611953696126031738991663253240785399834608223215029289570255307034442481422
94,229,16250320957376058564483130010,113038290403126118724046890511482815516128860462124427993578357176860489619989
95,230,23502727077703266568914832602,47995305793105549182354865267533930970220245541711581569441692945732199138408
96,231,48598319750265992867400062627,75658940407812382220821024994659098924324823008399715999749580724804974253875
97,232,107788999320748083239763087229,5479814056581425092710338646699614003222067800012562508827588849703042593606
93,228,8809582081186980434479440607,114462527283765187906954159217175924171373588420795359508060624082085621095500
94,229,19463432600934544696039010758,105195295520688816234593445008423448969203429873392208078293794702529602311454
95,230,19897282150629386724216418161,60993615802704558553410982762443439313851476164232562146583491892395208552677
96,231,72974875621333018769341512527,37097467617332106725073344532171467007450096597917777659185881352798760988450
97,232,125240536501015549150145564063,106357217339277530845510827388511864522841312109584368473548522864114968007543
93,228,5970528263822216219152735838,95588608639803361099027784186696097968474774935605629460582362394756232327093
94,229,13772312829536620415228433753,11038717132845462839905780804215258255736574732360604348528397350451693943503
95,230,20891716678063774529592553435,32644710628450674045565795361692945752311598905539123295822211291741496486148
96,231,40035677294240411333562440126,16288479318488319415189452785271217865130696096510057876579596344050635157992
97,232,117226148155521839151587817782,69594775029272242291865493295238112968285880647500443589448057080361265553562
93,228,8459880586006499177528421974,84309551044305935090741700252574783486575838871396007981573586066269345675929
94,229,17443566338571210624558793532,92277917225276154549327037950494618289649932849706099854282974781461656607308
95,230,35660817067624428827737741204,28317343778417462345681207499781352830992108722172284390425707515126565844717
96,231,67152725681450174595273550208,97228269211048583233808298551605786879287626428512497377093879631027212290822
97,232,150055931916684736482368708761,53574908214128183672313969177271458242758401212238429498835016311854976481666
93,228,8205178132237046382436150371,51951268895494625418939394127730778901699753968778559260755880004446780793608
94,229,10884314343607805334419613261,82592894818482756512925902273503770144086056577027926060792063729718843414849
95,230,30420230739939103585910061065,23753162377250765018363097307566531142298718908066100918809580771482737198587
96,231,48599821140458043189952222333,50801371401347984835910303174985923249128660908496216712057580424969404864740
97,232,121651256196542383247837879248,77792672166292722371998875085760880297027054243659107504334629567479970002448
93,228,7660061024746135066722421515,100178577038843521522921161483684398193889550844704965655723033052822773156330
94,229,9923252823910887630646702832,110422162354363567537414054185011079417052212846044823412603211321927401650131
95,230,19968349072719170463466403591,81991335003709738527982184383864984200424769810633763968982504797839210193890
96,231,46818962836688248180386264758,24290927937366478437968661764896819872962085825930155217312278004129273690553
97,232,136113769474601230309525842003,108892040209592513478525333505252036607889170391671325466721170202732481168933
93,228,9013923222903994666061022341,101680299112753328043159989048823382073503487254444505593001178852519128231974
94,229,18822010998615751530605627127,33429081244034706037371258674962682538416284542328296654974725467596556233823
95,230,27768331972969826485570440706,95061108680827115195222778651771531085112028082695559978940341339866527382387
96,231,48507676284826737558423195571,42389047296995294216171481220354818311372618071767499883954388453346251105284
97,232,144870048333840013299571896206,89834018523065913982522196288829842123758277321205692952559477615588930522657
93,228,8919605688037946383507012660,37416440083748265725530814607273076035269867267939467692329570228213460154979
94,229,17328993173678022575755017825,2280400448077980975687031643204344041077027637728436356922281876240093521391
95,230,33802591979382865326457054322,36383198394584250302438147683376793426221750425537960502784591069846293474235
96,231,77768089295839375505731227123,20069136608121634304932039521585272731553608365177712887494087407819740875833
97,232,103407059692347355435154685499,23604337090087641230983603066238167812874197327016162944854263447871106568825
93,228,8418945957323997606680611356,110968175362447947280699185075170366473302037774317610488283166370491385743674
94,229,13714810706735440377516399834,20923582456936907507020940901697740504176654567166708093496504004029619229626
95,230,36981237438193106479446079801,110526865136047393775699640287335053920978502574419846442928063740600445232626
96,231,53296418581748091070428001012,111233322001612696954889584976870691008975247805792843261615701528430734524650
97,232,119755947830180080538938477834,58297457618077192360533758125324575010964221796729738430310965918624171079721
93,228,8574894094412168728692690036,55638491707487817200101662847971083733511228707234561847260831832719063090034
94,229,13570413077148951470155081172,63339636340505737656569507629259334912878035546126766120937655649812010702023
95,230,28006554299002850231430648015,45324900460138197962877628964967533908471348415655478061200304495861032222874
96,231,77957829059978299264871041323,92699027152638445103781404335517550300047480587821379609391355631256373532451
97,232,143694671860711460897064767905,56561698035119765952514265403079876288698635112423733125505571847429806662288
93,228,6586761924250707789688829168,16086637894466657387972997341459070495147619339044630442098035650366339503117
94,229,17437555007402128177717073640,24506216624533687823480297071664908426000501248642480851875014956051218369495
95,230,22826485899835663072339075793,64385734147952538652428609577801710823696891863173580935917339944414877175094
96,231,63590631810697607326775455412,59705503682044162236784710977589684171060946171821598217866937344662205516533
97,232,109968875410712247901011488130,18822792069209417045412063987351402832563888121787005222808139877550485236548
93,228,8463038545514405914078307892,73405386140407967678582394267509840380019209204180732992218735921413189146446
94,229,15880357228566853451916411381,46893650434306008002029280000552846675135150978395643079713058253182976588261
95,230,34279405924639192761888720742,81911615595033299078331032543455133106427093573922143791918851567150954026382
96,231,54253693616962632470979199824,102643657131444675563828638309930663403937313713747079041297222538959872770313
97,232,107733839654787294233723402844,108816683694625516416160993754752796192962449648468146918512073960056892615591
93,228,9707741221094202227293754896,36596226060857054716569829246406728247352744473944526334059956499930260019602
94,229,19702619591248484713066970239,27495615034981702587986624999288953416633162814827888950994656683689691845126
95,230,37388470017296631578745376385,35718883801678139418764180989668843041140138682359126469226720840150427940855
